location,compartment,item_type,name,part_number,package_type,quantity,manufacturer,distributor,notes
Cabinet Y,Row 1 Column 1,Resistor,RES 0.0 OHM 1/8W JUMP 0805 SMD,ERJ-6GEY0R00V,SMD,5,Panasonic,Digi-Key,
Cabinet Y,Row 1 Column 2,Resistor,RES 0.1 OHM 2W 1% 2512,CSRN2512FTR100,SMD,100,Stackpole,Digi-Key,
Cabinet Y,Row 1 Column 3,Resistor,Thick Film Resistors - SMD,667-ERJ-2GEJ102X,SMD,16,Panasonic,Mouser ,
Cabinet Y,Row 1 Column 4,Resistor,RES 1K OHM 1/8W 5% 0805 SMD,ERJ-6GEYJ102V,SMD,289,Panasonic,Digi-Key,
Cabinet Y,Row 1 Column 5,Resistor,RES 1.15K OHM 1/8W 1% 0805,RMCF0805FT1K15,SMD,50,Stackpole,Digi-Key,
Cabinet Y,Row 2 Column 1,Resistor,RES 2K OHM 1/8W 5% 0805 SMD,ERJ-6GEYJ202V,SMD,49,Panasonic,Digi-Key,
Cabinet Y,Row 2 Column 2,Resistor,RES 2.2K OHM 1/10W 1% 0402 SMD,ERJ-2RKF2201X,SMD,150,Panasonic,Digi-Key,
Cabinet Y,Row 2 Column 3,Resistor,RES 4.7K OHM 1/4W 5% 1206 SMD,ERJ-8GEYJ472V,SMD,3,Panasonic,Digi-Key,
Cabinet Y,Row 2 Column 4,Resistor,RES 4.7K OHM 1/10W 5% 0402 SMD,ERJ-2GEJ472X,SMD,250,Panasonic,Digi-Key,
Cabinet Y,Row 2 Column 5,Resistor,RES 4.7K OHM 1/8W 5% 0805 SMD,RMCF0805JT4K70,SMD,245,Stackpole,Digi-Key,
Cabinet Y,Row 3 Column 1,Resistor,RES 10K OHM 1/8W 5% 0805,RMCF0805JT10K0,SMD,300,Stackpole,Digi-Key,
Cabinet Y,Row 3 Column 2,Resistor,RES 22K OHM 1/8W 5% 0805,RMCF0805JT22K0,SMD,91,Stackpole,Digi-Key,
Cabinet Y,Row 3 Column 3,Resistor,RES 100K OHM 1/8W 5% 0805 SMD,ERJ-6GEYJ104V,SMD,44,Panasonic,Digi-Key,
Cabinet Y,Row 3 Column 4,Resistor,RES 150K OHM 1/8W 5% 0805 SMD,ERJ-6GEYJ154V,SMD,49,Panasonic,Digi-Key,
Cabinet Y,Row 3 Column 5,Resistor,RES 240 OHM 1/4W 5% 1206 SMD,ERJ-8GEYJ241V,SMD,1,Panasonic,Digi-Key,
Cabinet Y,Row 4 Column 1,Resistor,RES 270K OHM 1/8W 5% 0805 SMD,ERJ-6GEYJ274V,SMD,49,Panasonic,Digi-Key,
Cabinet Y,Row 4 Column 2,Resistor,RES 1M OHM 1/16W 5% 0402,RMCF0402JT1M00,SMD,253,Stackpole,Digi-Key,
Cabinet Y,Row 4 Column 3,Resistor,RES SMD 4.7K OHM 1% 1/8W 0805,RC0805FR-074K7L,SMD,100,Yageo,Digi-Key,
Cabinet Y,Row 5 Column 1,Capacitor,CAP CER 18PF 50V 5% NP0 0805,500R15N180JV4T,SMD,300,Johanson Dielectrics,Digi-Key,
Cabinet Y,Row 5 Column 2,Capacitor,CAP CER 22PF 50V 5% NP0 0402,CL05C220JB5NNNC,SMD,250,Samsung,Digi-Key,
Cabinet Y,Row 5 Column 3,Capacitor,CAP CER 0.1UF 50V 0805,CL21F104ZBCNNNC,SMD,514,Samsung,Digi-Key,
Cabinet Y,Row 5 Column 4,Capacitor,CAP CER 470PF 100V 10% 0805,CL21B471KCANNNC,SMD,30,Samsung,Digi-Key,
Cabinet Y,Row 5 Column 5,Capacitor,CAP CER 0.22UF 50V 10% 0805,C0805C224K5RACTU,SMD,348,Kemet,Digi-Key,
Cabinet Y,Row 6 Column 1,Capacitor,CAP TANT 470UF 10V 10% 2917,293D477X9010E2TE3,SMD,25,Vishay Sprague,Digi-Key,
